ph,max_temperature_avg,humidity_avg,precip_avg,soil_type,area_slope,drainage,target
4.5,29,45,1200,sandy soil,20,yes,cassava
4.5,29,65,1100,sandy soil,15,yes,cassava
4.5,30,60,1500,sandy soil,25,yes,cassava
4.5,30,30,1400,sandy soil,14,yes,cassava
4.5,27,45,1200,sandy soil,13,yes,cassava
4.5,29,50,1200,sandy soil,19,yes,cassava
4.5,27,50,1500,sandy soil,15,yes,cassava
4.5,29,45,1100,sandy soil,15,yes,cassava
4.5,28,50,1200,sandy soil,20,yes,cassava
4.5,30,55,1500,sandy soil,16,yes,cassava
4.5,30,60,1300,sandy soil,13,yes,cassava
4.5,30,45,1200,sandy soil,15,yes,cassava
5,28,55,1200,loamy soil,20,yes,cassava
5,28,50,900,sandy soil,18,yes,cassava
5,29,40,1500,sandy soil,12,yes,cassava
5,28,50,1200,,16,yes,cassava
5,29,30,1300,sandy soil,15,yes,cassava
5,28,50,1500,sandy soil,13,yes,cassava
5,30,60,1500,sandy soil,18,yes,cassava
5,30,45,1200,sandy soil,12,yes,cassava
5,29,35,1200,sandy soil,16,yes,cassava
5,27,60,1500,sandy soil,15,yes,cassava
5.5,30,75,1300,sandy soil,20,yes,cassava
5.5,29,55,1200,sandy soil,20,yes,cassava
5.5,28,30,1200,sandy soil,15,yes,cassava
5.5,29,60,1400,sandy soil,14,yes,cassava
5.5,27,65,1200,sandy soil,16,yes,cassava
5.5,30,60,1500,sandy soil,16,yes,cassava
5.5,29,55,1500,sandy soil,15,yes,cassava
5.5,30,30,1200,sandy soil,18,yes,cassava
5.5,30,35,1200,sandy soil,14,yes,cassava
6,30,55,1200,sandy soil,15,yes,cassava
6,29,60,1300,sandy soil,15,yes,cassava
6,29,35,1400,sandy soil,18,yes,cassava
6,29,65,1500,sandy soil,14,yes,cassava
6,27,70,1400,sandy soil,19,yes,cassava
6,28,30,1500,sandy soil,20,yes,cassava
6,27,30,1400,sandy soil,10,yes,cassava
6.5,30,50,1500,sandy soil,25,yes,cassava
6.5,33,65,1300,clay soil,29,yes,cassava
6.5,30,30,1500,sandy soil,16,yes,cassava
6.5,28,35,1500,loamy soil,13,yes,cassava
6.5,27,55,1300,sandy soil,18,yes,cassava
6.5,28,35,1200,sandy soil,16,yes,cassava
6.5,28,30,1400,sandy soil,12,yes,cassava
